method,train_set,test_set,scenario,mean_error,std_error,median_error,p75_error,p95_error,max_error,n_samples
centroid,POCO#STANDING,POCO#STANDING,auto,1.7254286438426694,0.8608299525010551,1.418182889293231,2.3637236806031208,2.9664210059966085,4.0378419235671945,155
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.7254286438426694,0.8608299525010551,1.418182889293231,2.3637236806031208,2.9664210059966085,4.0378419235671945,155
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.7254286438426694,0.8608299525010551,1.418182889293231,2.3637236806031208,2.9664210059966085,4.0378419235671945,155
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.7254286438426694,0.8608299525010551,1.418182889293231,2.3637236806031208,2.9664210059966085,4.0378419235671945,155
centroid,POCO#STANDING,POCO#TRIPOD,cross-pose,1.6659203888053855,0.788518896293553,1.4762842130778957,2.234112468430382,3.1133042635370316,3.655860105482894,155
centroid,POCO#TRIPOD,POCO#TRIPOD,auto,1.6659203888053855,0.788518896293553,1.4762842130778957,2.234112468430382,3.1133042635370316,3.655860105482894,155
centroid,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1.6659203888053855,0.788518896293553,1.4762842130778957,2.234112468430382,3.1133042635370316,3.655860105482894,155
centroid,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,1.6659203888053855,0.788518896293553,1.4762842130778957,2.234112468430382,3.1133042635370316,3.655860105482894,155
centroid,POCO#STANDING,SAMSUNG#STANDING,cross-device,1.7705713411242765,0.7388498029264698,1.5577780730056199,2.396085436354787,3.004586228417212,3.768442997729047,156
centroid,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,1.7705713411242765,0.7388498029264698,1.5577780730056199,2.396085436354787,3.004586228417212,3.768442997729047,156
centroid,SAMSUNG#STANDING,SAMSUNG#STANDING,auto,1.7705713411242765,0.7388498029264698,1.5577780730056199,2.396085436354787,3.004586228417212,3.768442997729047,156
centroid,SAMSUNG#TRIPOD,SAMSUNG#STANDING,cross-pose,1.7705713411242765,0.7388498029264698,1.5577780730056199,2.396085436354787,3.004586228417212,3.768442997729047,156
centroid,POCO#STANDING,SAMSUNG#TRIPOD,cross-both,1.7224462181143465,0.7033738742119836,1.490362887461651,2.202747353516325,2.861048964097618,3.623840423193898,155
centroid,POCO#TRIPOD,SAMSUNG#TRIPOD,cross-device,1.7224462181143465,0.7033738742119836,1.490362887461651,2.202747353516325,2.861048964097618,3.623840423193898,155
centroid,SAMSUNG#STANDING,SAMSUNG#TRIPOD,cross-pose,1.7224462181143465,0.7033738742119836,1.490362887461651,2.202747353516325,2.861048964097618,3.623840423193898,155
centroid,SAMSUNG#TRIPOD,SAMSUNG#TRIPOD,auto,1.7224462181143465,0.7033738742119836,1.490362887461651,2.202747353516325,2.861048964097618,3.623840423193898,155
knn_dtc_k1,POCO#STANDING,POCO#STANDING,auto,0.0,0.0,0.0,0.0,0.0,0.0,155
knn_dtc_k1,POCO#STANDING,POCO#TRIPOD,cross-pose,0.6099136407068609,0.9742216227504608,0.0,1.389008999250905,2.517947829069081,3.671961328772405,155
knn_dtc_k1,POCO#STANDING,SAMSUNG#STANDING,cross-device,0.1843936211663887,0.5183284699199501,0.0,0.0,1.6260003075030462,2.48921272694802,156
knn_dtc_k1,POCO#STANDING,SAMSUNG#TRIPOD,cross-both,0.4020412526710601,0.7846312831550395,0.0,0.0,1.8849640333365238,3.039295971109099,155
knn_dtc_k1,POCO#TRIPOD,POCO#STANDING,cross-pose,0.6109791491222851,0.9621219703288256,0.0,1.389008999250905,2.545188794569079,3.9350214738931215,155
knn_dtc_k1,POCO#TRIPOD,POCO#TRIPOD,auto,0.0,0.0,0.0,0.0,0.0,0.0,155
knn_dtc_k1,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,0.583072993869718,0.8066342778352394,0.0,1.389008999250905,1.848555245955451,2.545188794569079,156
knn_dtc_k1,POCO#TRIPOD,SAMSUNG#TRIPOD,cross-device,0.293387672873486,0.6967311851594001,0.0,0.0,1.6260003075030462,3.9350214738931215,155
knn_dtc_k1,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.14751793950546857,0.4463699168686788,0.0,0.0,1.4642210181467465,2.417347720126337,155
knn_dtc_k1,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0.6504497030478644,1.0538787635781806,0.0,1.389008999250905,3.671961328772405,4.381700583106975,155
knn_dtc_k1,SAMSUNG#STANDING,SAMSUNG#STANDING,auto,0.0,0.0,0.0,0.0,0.0,0.0,156
knn_dtc_k1,SAMSUNG#STANDING,SAMSUNG#TRIPOD,cross-pose,0.32232353268543473,0.6256779999584613,0.0,0.0,1.6260003075030462,2.546063628427224,155
knn_dtc_k1,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.6019515334772035,0.9524797024622141,0.0,1.4321689844428278,2.545188794569079,3.813245336980038,155
knn_dtc_k1,SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,0.46645577338276734,0.9402713842258593,0.0,0.0,2.545188794569079,4.381700583106975,155
knn_dtc_k1,SAMSUNG#TRIPOD,SAMSUNG#STANDING,cross-pose,0.35493223863046863,0.6352088720326324,0.0,0.0,1.6260003075030462,2.48921272694802,156
knn_dtc_k1,SAMSUNG#TRIPOD,SAMSUNG#TRIPOD,auto,0.0,0.0,0.0,0.0,0.0,0.0,155
