method,window,device,measuring_type,mean,std,median,p75,p95,n
centroide,1s,POCO,STANDING,1.771,0.881,1.484,2.369,3.596,688
centroide,1s,POCO,TRIPOD,1.702,0.829,1.55,2.235,3.385,678
centroide,1s,SAMSUNG,STANDING,1.756,0.733,1.534,2.371,2.828,681
centroide,1s,SAMSUNG,TRIPOD,1.736,0.71,1.508,2.223,3.169,678
centroide,5s,POCO,STANDING,1.725,0.864,1.418,2.364,2.966,155
centroide,5s,POCO,TRIPOD,1.666,0.791,1.476,2.234,3.113,155
centroide,5s,SAMSUNG,STANDING,1.771,0.741,1.558,2.396,3.005,156
centroide,5s,SAMSUNG,TRIPOD,1.722,0.706,1.49,2.203,2.861,155
centroide,raw,POCO,STANDING,1.908,1.078,1.679,2.451,3.77,3796
centroide,raw,POCO,TRIPOD,1.807,1.048,1.674,2.281,3.594,3519
centroide,raw,SAMSUNG,STANDING,1.747,0.759,1.515,2.367,3.464,3713
centroide,raw,SAMSUNG,TRIPOD,1.739,0.722,1.522,2.238,3.246,3725
