method,window,train_set,mean,std,median,p75,p95,n
KNN-DtC-k1,1s,POCO#STANDING,0.472,0.935,0.0,0.0,2.489,2037
KNN-DtC-k1,1s,POCO#TRIPOD,0.523,0.953,0.0,1.135,2.545,2047
KNN-DtC-k1,1s,SAMSUNG#STANDING,0.454,1.03,0.0,0.0,2.506,2044
KNN-DtC-k1,1s,SAMSUNG#TRIPOD,0.546,1.062,0.0,1.135,2.545,2047
KNN-DtC-k1,5s,POCO#STANDING,0.398,0.801,0.0,0.0,1.68,466
KNN-DtC-k1,5s,POCO#TRIPOD,0.496,0.842,0.0,1.389,2.287,466
KNN-DtC-k1,5s,SAMSUNG#STANDING,0.373,0.782,0.0,0.0,1.626,465
KNN-DtC-k1,5s,SAMSUNG#TRIPOD,0.474,0.862,0.0,1.135,2.489,466
KNN-DtC-k1,raw,POCO#STANDING,0.603,1.098,0.0,1.389,3.039,10957
KNN-DtC-k1,raw,POCO#TRIPOD,0.588,1.06,0.0,1.389,2.545,11234
KNN-DtC-k1,raw,SAMSUNG#STANDING,1.21,2.523,0.0,1.539,6.565,11040
KNN-DtC-k1,raw,SAMSUNG#TRIPOD,1.248,2.409,0.0,1.539,6.248,11028
KNN-DtC-k10,1s,POCO#STANDING,0.485,0.794,0.0,0.759,2.128,2037
KNN-DtC-k10,1s,POCO#TRIPOD,0.596,0.831,0.154,1.111,2.417,2047
KNN-DtC-k10,1s,SAMSUNG#STANDING,0.477,0.903,0.0,0.814,1.677,2044
KNN-DtC-k10,1s,SAMSUNG#TRIPOD,0.546,0.939,0.0,0.833,2.489,2047
KNN-DtC-k10,5s,POCO#STANDING,0.759,0.563,0.567,1.042,1.898,466
KNN-DtC-k10,5s,POCO#TRIPOD,0.758,0.614,0.573,0.923,2.371,466
KNN-DtC-k10,5s,SAMSUNG#STANDING,0.674,0.51,0.491,0.908,1.603,465
KNN-DtC-k10,5s,SAMSUNG#TRIPOD,0.718,0.57,0.555,0.856,1.975,466
KNN-DtC-k10,raw,POCO#STANDING,0.553,0.901,0.143,0.923,2.176,10957
KNN-DtC-k10,raw,POCO#TRIPOD,0.646,0.991,0.189,1.135,2.24,11234
KNN-DtC-k10,raw,SAMSUNG#STANDING,1.064,2.263,0.163,1.135,5.84,11040
KNN-DtC-k10,raw,SAMSUNG#TRIPOD,1.109,2.198,0.242,1.385,5.944,11028
KNN-DtC-k3,1s,POCO#STANDING,0.472,0.801,0.0,0.83,1.758,2037
KNN-DtC-k3,1s,POCO#TRIPOD,0.566,0.852,0.0,1.105,1.788,2047
KNN-DtC-k3,1s,SAMSUNG#STANDING,0.467,0.93,0.0,0.926,1.679,2044
KNN-DtC-k3,1s,SAMSUNG#TRIPOD,0.547,0.984,0.0,1.048,2.545,2047
KNN-DtC-k3,5s,POCO#STANDING,0.443,0.754,0.0,0.83,1.659,466
KNN-DtC-k3,5s,POCO#TRIPOD,0.526,0.784,0.0,1.084,2.287,466
KNN-DtC-k3,5s,SAMSUNG#STANDING,0.399,0.753,0.0,0.704,1.626,465
KNN-DtC-k3,5s,SAMSUNG#TRIPOD,0.472,0.789,0.0,0.848,1.697,466
KNN-DtC-k3,raw,POCO#STANDING,0.566,0.939,0.0,1.013,2.529,10957
KNN-DtC-k3,raw,POCO#TRIPOD,0.625,0.979,0.0,1.135,2.198,11234
KNN-DtC-k3,raw,SAMSUNG#STANDING,1.091,2.252,0.0,1.265,6.199,11040
KNN-DtC-k3,raw,SAMSUNG#TRIPOD,1.173,2.279,0.0,1.389,6.214,11028
KNN-DtC-k5,1s,POCO#STANDING,0.472,0.785,0.0,0.859,1.977,2037
KNN-DtC-k5,1s,POCO#TRIPOD,0.581,0.844,0.0,1.024,2.283,2047
KNN-DtC-k5,1s,SAMSUNG#STANDING,0.464,0.911,0.0,0.763,1.68,2044
KNN-DtC-k5,1s,SAMSUNG#TRIPOD,0.545,0.958,0.0,0.981,2.545,2047
KNN-DtC-k5,5s,POCO#STANDING,0.485,0.739,0.0,0.859,1.824,466
KNN-DtC-k5,5s,POCO#TRIPOD,0.553,0.795,0.0,1.135,2.288,466
KNN-DtC-k5,5s,SAMSUNG#STANDING,0.43,0.723,0.0,0.65,1.626,465
KNN-DtC-k5,5s,SAMSUNG#TRIPOD,0.49,0.764,0.0,0.833,1.657,466
KNN-DtC-k5,raw,POCO#STANDING,0.551,0.907,0.0,0.923,2.24,10957
KNN-DtC-k5,raw,POCO#TRIPOD,0.637,0.978,0.0,1.135,2.237,11234
KNN-DtC-k5,raw,SAMSUNG#STANDING,1.073,2.248,0.278,1.146,5.898,11040
KNN-DtC-k5,raw,SAMSUNG#TRIPOD,1.138,2.234,0.286,1.389,6.208,11028
