train_set,test_set,scenario,mean_error,std_error,median_error,p75_error,p95_error,max_error,n_samples,n_seeds
POCO#STANDING,POCO#STANDING,auto,0.3950223386287689,0.029426061559094007,0.3615835189819336,0.5177441716194153,0.8113567233085632,1.9434417009353637,1752,5
POCO#STANDING,POCO#TRIPOD,cross-pose,0.9837157845497131,0.04464180059465873,0.826917290687561,1.3250617742538453,2.2832533359527587,4.37534613609314,1616,5
POCO#STANDING,SAMSUNG#STANDING,cross-device,1.410587191581726,0.13862633813332828,1.3603311419486999,1.9385488033294678,2.7238142490386963,4.792888832092285,1711,5
POCO#STANDING,SAMSUNG#TRIPOD,cross-both,1.1830395698547362,0.09235740544713632,1.0892525672912599,1.6110451459884643,2.2117671251296995,3.3374541282653807,1717,5
POCO#TRIPOD,POCO#STANDING,cross-pose,1.0811585187911987,0.03887698591254379,0.92547607421875,1.3867135286331176,2.4408996582031253,4.4368205070495605,1752,5
POCO#TRIPOD,POCO#TRIPOD,auto,0.34465100765228274,0.026313507917601647,0.3106301486492157,0.45127725005149844,0.7198752045631409,2.158779835700989,1616,5
POCO#TRIPOD,SAMSUNG#STANDING,cross-both,1.5230901479721068,0.13154846135668308,1.4632928848266602,2.0339623212814333,3.1396832942962645,4.023603105545044,1711,5
POCO#TRIPOD,SAMSUNG#TRIPOD,cross-device,1.1577221393585204,0.12931049233633043,1.0730167508125306,1.580764937400818,2.4803795337677004,3.1758162498474123,1717,5
SAMSUNG#STANDING,POCO#STANDING,cross-device,3.444140815734863,0.6191049647426988,3.2297125339508055,4.541211795806885,6.815658760070801,11.144751739501952,1752,5
SAMSUNG#STANDING,POCO#TRIPOD,cross-both,3.3740784168243407,0.6226860424627794,3.0799503326416016,4.5552873611450195,6.70747938156128,11.231560325622558,1616,5
SAMSUNG#STANDING,SAMSUNG#STANDING,auto,0.3795524179935455,0.04366716490333106,0.31303728818893434,0.48508023619651797,0.928766405582428,2.015525722503662,1711,5
SAMSUNG#STANDING,SAMSUNG#TRIPOD,cross-pose,0.9046090960502624,0.049432142576339946,0.8345280051231384,1.259412908554077,1.9626397132873534,4.289472818374634,1717,5
SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.1888102531433105,0.08149275829410399,2.038061237335205,2.930083131790161,4.419255065917969,7.387178134918213,1752,5
SAMSUNG#TRIPOD,POCO#TRIPOD,cross-device,2.0313908100128177,0.08911221742671045,1.8201051235198975,2.7474674224853515,4.285799026489258,7.4168901443481445,1616,5
SAMSUNG#TRIPOD,SAMSUNG#STANDING,cross-pose,0.7091999650001526,0.05174847674013781,0.6474223136901855,0.9174976348876953,1.4800004720687867,3.267046308517456,1711,5
SAMSUNG#TRIPOD,SAMSUNG#TRIPOD,auto,0.29638121128082273,0.028935307152763726,0.24631958603858944,0.37758275866508484,0.7231546878814697,1.6817381858825684,1717,5
