train_set,test_set,mean_error,std_error,median_error,p75_error,p95_error,max_error,n_samples
POCO#STANDING,POCO#STANDING,0.293,0.173,0.264,0.391,0.614,2.001,17480
POCO#STANDING,POCO#TRIPOD,0.836,0.591,0.689,1.049,2.081,4.779,16095
POCO#STANDING,SAMSUNG#STANDING,1.255,0.74,1.177,1.736,2.626,4.71,17065
POCO#STANDING,SAMSUNG#TRIPOD,1.033,0.577,0.936,1.436,2.052,3.611,17125
POCO#TRIPOD,POCO#STANDING,1.03,0.674,0.916,1.286,2.349,4.903,17480
POCO#TRIPOD,POCO#TRIPOD,0.236,0.142,0.21,0.307,0.503,1.497,16095
POCO#TRIPOD,SAMSUNG#STANDING,1.646,0.853,1.614,2.199,3.304,4.08,17065
POCO#TRIPOD,SAMSUNG#TRIPOD,1.285,0.736,1.12,1.742,2.835,3.549,17125
SAMSUNG#STANDING,POCO#STANDING,3.242,1.716,3.022,4.317,6.334,11.068,17480
SAMSUNG#STANDING,POCO#TRIPOD,3.187,1.76,2.912,4.327,6.43,11.515,16095
SAMSUNG#STANDING,SAMSUNG#STANDING,0.23,0.166,0.188,0.299,0.559,1.589,17065
SAMSUNG#STANDING,SAMSUNG#TRIPOD,0.786,0.616,0.697,1.062,1.742,5.119,17125
SAMSUNG#TRIPOD,POCO#STANDING,2.409,1.349,2.198,3.27,4.863,8.594,17480
SAMSUNG#TRIPOD,POCO#TRIPOD,2.198,1.347,1.918,2.902,4.77,10.137,16095
SAMSUNG#TRIPOD,SAMSUNG#STANDING,0.672,0.402,0.617,0.909,1.378,3.192,17065
SAMSUNG#TRIPOD,SAMSUNG#TRIPOD,0.192,0.139,0.159,0.248,0.464,1.321,17125
