train_set,seed,elapsed_s,pretrain_epochs,pretrain_min_val_loss,finetune_epochs,finetune_min_val_loss
POCO#STANDING,0,125.09110522270204,30,0.1036306992173194,40,0.1806270331144333
POCO#STANDING,1,128.1664228439331,30,0.0980862453579902,40,0.1583977341651916
POCO#STANDING,2,137.35691714286804,30,0.0994526147842407,40,0.1588765978813171
POCO#STANDING,3,127.86635541915894,30,0.1086734011769294,40,0.1927233934402465
POCO#STANDING,4,129.95039820671082,30,0.0869052112102508,40,0.1772579550743103
POCO#TRIPOD,0,129.09849429130554,30,0.1185494214296341,40,0.1568045765161514
POCO#TRIPOD,1,150.16996836662292,30,0.0901420190930366,40,0.1208991557359695
POCO#TRIPOD,2,120.86306810379028,30,0.1171541959047317,40,0.120086058974266
POCO#TRIPOD,3,117.51213049888612,30,0.1197511404752731,40,0.1745078563690185
POCO#TRIPOD,4,144.5198073387146,30,0.1010474562644958,40,0.1236654818058013
SAMSUNG#STANDING,0,104.58760905265808,30,0.0305919833481311,18,0.1393994241952896
SAMSUNG#STANDING,1,153.24117755889893,30,0.0349750556051731,31,0.1186921596527099
SAMSUNG#STANDING,2,128.9269664287567,21,0.0251324195414781,25,0.1495798528194427
SAMSUNG#STANDING,3,152.84089612960815,30,0.0263827592134475,39,0.1107207238674163
SAMSUNG#STANDING,4,128.73551177978516,30,0.0201753135770559,29,0.096372440457344
SAMSUNG#TRIPOD,0,163.44187998771667,30,0.0226951260119676,40,0.0593927912414073
SAMSUNG#TRIPOD,1,128.1567804813385,30,0.0274774115532636,29,0.0769488811492919
SAMSUNG#TRIPOD,2,144.0878405570984,30,0.0231700334697961,36,0.0688997432589531
SAMSUNG#TRIPOD,3,126.1389093399048,19,0.0272174160927534,23,0.0896458104252815
SAMSUNG#TRIPOD,4,153.3315999507904,30,0.0173543877899646,38,0.0703186020255088
