family,variant,scenario,mean,median,std,p75,p95,n
CAE-CNNLoc-2D,CAE-CNNLoc-2D-N16,auto,0.23819262194223972,0.202271893620491,0.16028063083634214,0.3134212493896484,0.549653959274292,67765
CAE-CNNLoc-2D,CAE-CNNLoc-2D-N16,cross-both,2.0539513839019197,1.7148308753967283,1.454628723786268,2.744336605072021,4.951988792419433,67765
CAE-CNNLoc-2D,CAE-CNNLoc-2D-N16,cross-device,1.9991431651160887,1.642238974571228,1.4634019175269897,2.6570098400115967,5.022624206542967,67765
CAE-CNNLoc-2D,CAE-CNNLoc-2D-N16,cross-pose,0.8322214227842183,0.7237138748168945,0.5944466881748194,1.084441900253296,1.9245292425155633,67765
KNN-DtC,KNN-DtC-k1_w1s,auto,0.0,0.0,0.0,0.0,0.0,2725
KNN-DtC,KNN-DtC-k1_w5s,cross-both,0.5594170255540674,0.0,0.9115656067324668,1.389008999250905,2.545188794569079,621
KNN-DtC,KNN-DtC-k1_w5s,cross-device,0.2727961669807142,0.0,0.6893251340228349,0.0,1.6260003075030462,621
KNN-DtC,KNN-DtC-k1_w5s,cross-pose,0.47434453980050423,0.0,0.82868307684412,1.389008999250905,1.6350027522912614,621
centroide,centroide_w5s,auto,1.7211713254163596,1.4877304593442755,0.77660713142256,2.2872514366766667,2.979606233156052,621
